referencia,ano,mes,rendimento_medio
2012-03,2012,03,2775
2012-04,2012,04,2785
2012-05,2012,05,2778
2012-06,2012,06,2784
2012-07,2012,07,2798
2012-08,2012,08,2807
2012-09,2012,09,2802
2012-10,2012,10,2799
2012-11,2012,11,2796
2012-12,2012,12,2790
2013-01,2013,01,2801
2013-02,2013,02,2818
2013-03,2013,03,2834
2013-04,2013,04,2841
2013-05,2013,05,2843
2013-06,2013,06,2866
2013-07,2013,07,2885
2013-08,2013,08,2904
2013-09,2013,09,2904
2013-10,2013,10,2913
2013-11,2013,11,2902
2013-12,2013,12,2879
2014-01,2014,01,2876
2014-02,2014,02,2904
2014-03,2014,03,2937
2014-04,2014,04,2935
2014-05,2014,05,2929
2014-06,2014,06,2914
2014-07,2014,07,2908
2014-08,2014,08,2929
2014-09,2014,09,2939
2014-10,2014,10,2951
2014-11,2014,11,2930
2014-12,2014,12,2932
2015-01,2015,01,2936
2015-02,2015,02,2931
2015-03,2015,03,2932
2015-04,2015,04,2925
2015-05,2015,05,2912
2015-06,2015,06,2920
2015-07,2015,07,2900
2015-08,2015,08,2886
2015-09,2015,09,2885
2015-10,2015,10,2874
2015-11,2015,11,2853
2015-12,2015,12,2838
2016-01,2016,01,2847
2016-02,2016,02,2830
2016-03,2016,03,2843
2016-04,2016,04,2828
2016-05,2016,05,2838
2016-06,2016,06,2808
2016-07,2016,07,2810
2016-08,2016,08,2835
2016-09,2016,09,2832
2016-10,2016,10,2837
2016-11,2016,11,2842
2016-12,2016,12,2857
2017-01,2017,01,2867
2017-02,2017,02,2876
2017-03,2017,03,2892
2017-04,2017,04,2880
2017-05,2017,05,2876
2017-06,2017,06,2864
2017-07,2017,07,2866
2017-08,2017,08,2861
2017-09,2017,09,2876
2017-10,2017,10,2886
2017-11,2017,11,2899
2017-12,2017,12,2900
2018-01,2018,01,2911
2018-02,2018,02,2923
2018-03,2018,03,2921
2018-04,2018,04,2930
2018-05,2018,05,2931
2018-06,2018,06,2927
2018-07,2018,07,2916
2018-08,2018,08,2928
2018-09,2018,09,2916
2018-10,2018,10,2919
2018-11,2018,11,2922
2018-12,2018,12,2940
2019-01,2019,01,2958
2019-02,2019,02,2968
2019-03,2019,03,2956
2019-04,2019,04,2940
2019-05,2019,05,2920
2019-06,2019,06,2920
2019-07,2019,07,2913
2019-08,2019,08,2925
2019-09,2019,09,2925
2019-10,2019,10,2947
2019-11,2019,11,2960
2019-12,2019,12,2951
2020-01,2020,01,2957
2020-02,2020,02,2960
2020-03,2020,03,2985
2020-04,2020,04,3017
2020-05,2020,05,3067
2020-06,2020,06,3115
2020-07,2020,07,3152
2020-08,2020,08,3147
2020-09,2020,09,3149
2020-10,2020,10,3103
2020-11,2020,11,3071
2020-12,2020,12,3024
2021-01,2021,01,3017
2021-02,2021,02,2990
2021-03,2021,03,2999
2021-04,2021,04,2963
2021-05,2021,05,2961
2021-06,2021,06,2916
2021-07,2021,07,2890
2021-08,2021,08,2849
2021-09,2021,09,2799
2021-10,2021,10,2757
2021-11,2021,11,2721
2021-12,2021,12,2699
2022-01,2022,01,2725
2022-02,2022,02,2728
2022-03,2022,03,2740
2022-04,2022,04,2728
2022-05,2022,05,2747
2022-06,2022,06,2768
2022-07,2022,07,2807
2022-08,2022,08,2831
2022-09,2022,09,2869
2022-10,2022,10,2888
2022-11,2022,11,2915
2022-12,2022,12,2922
2023-01,2023,01,2935
2023-02,2023,02,2934
2023-03,2023,03,2941
2023-04,2023,04,2932
2023-05,2023,05,2927
2023-06,2023,06,2940
2023-07,2023,07,2950
2023-08,2023,08,2959
2023-09,2023,09,2989
2023-10,2023,10,2999
